Data Obat;;;;;;;;
No.;Abjad;Nama Obat;Golongan;Kategori;Manfaat;Pengguna;Bentuk obat;Gangguan
236;M;Mantino;Obat bebas;Antimual golongan antihistamin;Meredakan pusing, mual, dan muntah akibat mabuk perjalanan;Dewasa dan anak usia >5 tahun;Tablet;Pusing, mual, muntah, mabuk perjalanan
244;N;Nabumetone;Obat resep;Obat antiinflamasi nonsteroid (OAINS);Mengatasi gejala arthritis, seperti osteoarthritis dan rheumatoid arthritis;Dewasa;Tablet;gejala arthritis
245;N;Nadolol;Penghambat beta;Penghambat beta;Menurunkan tekanan darah pada hipertensi, meredakan angina pektoris, dan mengobati gangguan irama jantung;Dewasa;Tablet;hipertensi, angina pektoris, gangguan irama jantung
246;N;Naftidrofuryl Oxalate;Obat resep;Vasodilator;Mengatasi penyakit vaskular perifer dan penyakit serebrovaskuler;Dewasa;Tablet;vaskular perifer dan serebrovaskuler
247;N;Naftifine;Obat resep;Antijamur golongan allylamine;Mengobati infeksi jamur kulit;Dewasa dan anak-anak usia 12 tahun ke atas;Krim dan gel;infeksi jamur
248;N;Nalgestan;Obat bebas terbatas;Dekongestan dan antihistamin;Meredakan gejala flu dan pilek;Dewasa;Tablet;flu dan pilek
249;N;Nadroparin;Obat resep;Antikoagulan;Mencegah dan mengatasi penggumpalan darah, seperti pada deep vein thrombosis dan emboli paru;Dewasa;Suntik;penggumpalan darah
250;N;Nalbuphine;Obat resep;Antinyeri golongan opioid;Meredakan rasa sakit atau nyeri sedang hingga berat;Dewasa;Suntik;nyeri sedang hingga berat
263;O;Olanzapine;Obat resep;Antipsikotik;Mengobati skizofrenia dan gangguan bipolar;Dewasa;Tablet, suntik;skizofrenia dan gangguan bipolar
264;O;Olaparib;Obat resep;Obat kemoterapi;Menangani kanker payudara, kanker prostat, kanker ovarium, kanker pankreas, kanker tuba falopi, atau kanker peritoneum;Dewasa dan anak-anak;Tablet;kanker payudara, kanker prostat, kanker ovarium, kanker pankreas, kanker tuba falopi, kanker peritoneum
265;O;Obeslim;Obat resep;Obat antiobesitas;Mengurangi penyerapan lemak, membantu menurunkan berat badan dan mencegah kenaikan berat badan;Dewasa dan anak-anak;Kapsul;menurunkan berat badan
266;O;Octreotide;Obat resep;Octapeptide;Menurunkan jumlah hormon pertumbuhan pada penderita akromegali, mengontrol gejala diare dan flushing pada wajah dan leher akibat tumor karsinoid dan VIP tumor.;Dewasa dan anak-anak;Injeksi;diare dan flushing tumor, VIP tumor
267;O;Ocuson;Obat resep;Antihistamin dan kortikosteroid;Mengatasi gejala alergi dan peradangan;Dewasa dan anak usia di atas 12 tahun;Tablet;gejala alergi dan peradangan
268;O;Ofloxacin;Antibiotik quinolone;Obat resep;Mengobati infeksi bakteri;Dewasa dan anak-anak;Tablet, kaplet, tetes mata, tetes telinga, suntik;infeksi bakteri
269;O;Oksitosin;Obat resep;Hormon sintetis;Memicu kontraksi rahim, mengontrol perdarahan setelah melahirkan, dan membantu keluarnya ASI;Dewasa;Suntik;kontraksi rahim, pendarahan melahirkan, asi tersumbat
270;O;Olaparib;Obat resep;Obat kemoterapi;Menangani kanker payudara, kanker prostat, kanker ovarium, kanker pankreas, kanker tuba falopi, atau kanker peritoneum;Dewasa dan anak-anak;Tablet;kanker payudara, kanker prostat, kanker ovarium, kanker pankreas, kanker tuba falopi, atau kanker peritoneum
271;O;Olmetec;Obat resep;Angiotensin receptor blocker (ARB), diuretik thiazide;Mengatasi tekanan darah tinggi;Dewasa;Tablet;hipertensi
272;O;Olmesartan;Obat resep;Penghambat reseptor angiotensin II;Mengobati tekanan darah tinggi (hipertensi);Dewasa dan anak-anak usia ≥6 tahun;Tablet salut selaput;hipertensi
273;O;Omedom;Obat resep;Antiemetik jenis antagonis dopamin;Meredakan mual dan muntah, Mengatasi rasa tidak nyaman di perut akibat gastroparesis;Dewasa dan anak usia ≥12 tahun dengan BB ≥35 kg;Tablet dan sirop;mual, muntah, maag
274;O;Omegdiar;Obat bebas;Obat diare;Mengatasi gejala diare;Dewasa dan anak >6 tahun;Tablet dan sirop;diare dan flushing tumor, VIP tumor
275;O;Omenacort;Obat resep;Kortikosteroid;Mengatasi reaksi alergi atau peradangan, termasuk radang sendi, Menangani penyakit autoimun;Dewasa;Tablet;alergi, peradangan dan autoimun
276;O;Omegzole;Obat resep;Obat antijamur jenis azole;Mengobati infeksi jamur sistemik, infeksi jamur mulut, kandidiasis vagina, dan sindrom Cushing.;Dewasa dan anak-anak usia 2 tahun ke atas;Tablet;infeksi jamur sistemik, infeksi jamur mulut, kandidiasis vagina dan sindrom cushing
277;O;Omeroxol;Obat resep;Obat pengencer dahak jenis mukolitik;Mengencerkan dahak;Dewasa dan anak usia ≥2 tahun;Tablet dan sirop;batuk berdahak
283;P;Paclitaxel;Obat resep;Antikanker;Menangani kanker payudara, kanker paru-paru, kanker pankreas, atau sarkoma Kaposi pada penderita HIV;Dewasa;Suntik;kanker payudara, kanker paru-paru, kanker pankreas, atau sarkoma Kaposi pada penderita HIV
284;P;Paliperidone;Obat resep;Antipsikotik;Meredakan gejala skizofrenia dan gejala skizoafektif;Dewasa dan anak usia ≥12 tahun;Tablet lepas lambat, cairan suntik;gejala skizofrenia dan gejala skizoafektif
285;P;Palenox;Retinoid topikal;Obat resep;Mengatasi jerawat (acne vulgaris);Dewasa dan anak usia 12 tahun ke atas;Gel;jerawat (acne vulgaris)
286;P;Pamol Supositoria;Obat bebas;Analgetik dan antipiretik;Meredakan nyeri dan demam;Dewasa dan anak-anak;Supositoria;nyeri dan demam
287;P;Panadol Anak;Obat bebas;Analgeltik dan antipiretik;"Menurunkan demam, Menurunkan demam 
Meredakan nyeri, misalnya sakit kepala atau nyeri karena tumbuh gigi";Anak-anak atau dewasa yang tidak bisa menelan tablet;Tablet kunyah, sirop;"demam, Menurunkan demam 
Meredakan nyeri, misalnya sakit kepala atau nyeri karena tumbuh gigi"
288;P;Panadol;Obat bebas dan obat bebas terbatas;Analgesik & antipiretik;Meredakan demam, gejala flu, sakit kepala, dan sakit gigi;Dewasa dan anak-anak;Kaplet;demam, flu dan sakit kepala
289;P;Pancuronium;Neuromuscular blocking drugs (NMBDs) atau pelemas otot nondepolarisasi;Obat resep;Merelaksasikan otot saat intubasi endotrakeal atau selama operasi;Dewasa dan anak-anak;Suntik;intubasi endotrakeal
290;P;Pantopump;Obat resep;Penghambat pompa proton;Mengurangi produksi asam lambung pada penyakit asam lambung (GERD) dan sindrom Zollinger-Ellison, Mendukung penyembuhan tukak lambung, ulkus duodenum, dan esofagitis erosif (radang kerongkongan akibat GERD);Dewasa;Tablet dan suntik;asam lambung,
291;P;Papaverine;Obat resep;Antispasmodik/vasodilator;Melemaskan otot polos;Dewasa;Tablet dan suntik;nyeri otot
303;Q;Quetiapine;Obat resep;Antipsikotik atipikal;Mengobati gangguan mental, seperti skizofrenia, mengatasi dan mencegah gangguan bipolar, dan mengobati depresi.;Dewasa;Tablet salut selaput, tablet pelepasan lambat;gangguan mental
304;Q;Quinidine;Antiaritmia;Obat resep;Mengobati gangguan irama jantung dan malaria;Dewasa dan anak-anak;Tablet dan suntik;gangguan irama jantung dan malaria
305;Q;Quixx;Obat herbal - Consumer product;Obat sakit tenggorokan;Perawatan masalah tenggorokan;Dewasa untuk Quixx Sore Throat Spray, Anak usia >3 tahun untuk Quixx Sore Throat Spray For Kids;Cairan semprot;sakit tenggorokan
306;Q;Quinapril;Obat resep;ACE inhibitor;Mengatasi hipertensi dan gagal jantung;Dewasa;Tablet;hipertensi dan gagal jantung
307;R;Rabeprazole;Obat resep;"Penghambat pompa proton (proton pump inhibitor)
";"1. Mengatasi penyakit asam lambung
2. Menangani tukak lambung atau ulkus duodenum 
3. Mengatasi esofagitis erosif
4. Menangani infeksi Helicobacter pylori
5. Mengatasi sindrom Zollinger-Ellison";"Dewasa dan anak-anak
";Tablet dan kapsul lepas lambat;Asam lambung
308;R;Racecadotril;Obat resep;Obat antidiare;Mengobati diare akut dan mencegah dehidrasi;Dewasa;Kapsul;Diare
309;R;Radium;Obat resep;Zat radioaktif;Mengobati kanker prostat yang menyebar ke tulang;Dewasa;Suntik;Kanker prostat
310;R;Raloxifen;Obat resep;Selective estrogen receptor modulators (terapi pengganti hormon);Mencegah atau mengobati osteoporosis pada wanita pascamenopause;Dewasa;Tablet;Osteoporosis
311;R;Ramipril;Obat resep;Antihipertensi golongan ACE inhibitor;"1. Menurunkan tekanan darah tinggi pada penderita hipertensi
2. Mengobati gagal jantung
3. Mengatasi gagal ginjal akibat diabetes
4. Memulihkan kondisi jantung setelah serangan jantung";"Dewasa
";Tablet;Hipertensi, gagal jantung, gagal ginjal
312;R;Ramucirumab;Obat resep;Obat antikanker/kemoterapi;Mengobati kanker lambung, kanker paru jenis non-small cell (NSCLC), serta kanker hati jenis hepatocellular carcinoma (HCC) stadium lanjut;Dewasa;Infus;Kanker lambung, kanker paru-paru
313;R;Ranitidin;Antagonis H2;Obat resep;"Menurunkan produksi asam lambung berlebih
";Dewasa dan anak-anak;Tablet, kaplet, sirop, dan cairan suntik;Asam lambung
314;R;Ranivel;Obat resep;Antagonis H2;Menurunkan produksi asam lambung;Dewasa dan anak-anak;Tablet, sirop, dan suntik;Asam lambung
315;R;Ranolazine;Obat resep;Obat antiangina;"Mencegah atau mengurangi terjadinya angina pektoris
";Dewasa;Tablet pelepasan lambat;Angina pektoris
316;R;Raost;Obat antiinflamasi nonsteroid (OAINS);Obat resep;Meredakan nyeri dan peradangan, contohnya pada radang sendi, sakit gigi, atau migrain;"Dewasa dan anak usia ≥14 tahun
";Kaplet;Pereda nyeri, radang sendi, sakit gigi, migrain
317;R;Rebamipide;Obat resep;Antasida;"Mengatasi penyakit lambung, seperti ulkus lambung dan gastritis
";Dewasa;Tablet;Gastritis
318;R;Recansa;Obat resep;Obat penurun kolesterol golongan statin;"1. Menurunkan kadar kolesterol dan trigliserida pada penderita kolesterol tinggi dan homozygous familial hypercholesterolaemia atau heterozygous familial hypercholesterolaemia
2. Mengurangi risiko terkena penyakit jantung dan stroke akibat kadar kolesterol yang tinggi";Dewasa, anak-anak, dan lansia;Tablet salut selaput;Kolestrol
319;R;Rechol;Obat resep;Obat penurun kolesterol golongan statin;Menurunkan kadar kolesterol dalam darah;Dewasa dan anak usia ≥10 tahun;Tablet salut selaput;Kolestrol
320;R;Recolfar;Obat resep;"Obat urikosurik atau anti-gout
";Mengobati atau mencegah terjadinya serangan asam urat;Dewasa;Tablet;Asam urat
328;S;Saccharomyces;"Obat bebas
";"Probiotik
";"Mencegah dan meredakan diare
";"Dewasa dan anak-anak
";"Kapsul dan tablet
";Diare
329;S;Salonpas;Obat bebas;Analgesik;Meredakan nyeri pada otot dan sendi, serta mengatasi sakit kepala dan sakit gigi;Dewasa dan anak-anak;Koyo, gel, krim, losion, dan semprot (spray);Cedera, nyeri otot, keseleo
330;S;Sacubitril-Valsartan;Obat resep;"Angiotensin receptor neprilysin inhibitor (ARNI)
";Mengobati gagal jantung kronis;Dewasa;Tablet;Gagal jantung
331;S;Sagestam;"Antibiotik topikal golongan aminoglikosida
";Obat resep;Mengatasi infeksi bakteri pada kulit, seperti impetigo, folikulitis, atau bisul;Dewasa dan anak-anak;Krim;Bisul
332;S;Sakatonik Liver;Obat bebas;Suplemen zat besi dan vitamin;Mengatasi anemia defisiensi zat besi.;Dewasa dan anak-anak;Kaplet dan sirop;Anemia
333;S;Salbutamol;"Bronkodilator (beta-2-agonist dengan reaksi cepat)
";"Obat resep
";Mengatasi sesak napas, batuk, serta mengi atau bengek, akibat serangan asma atau penyakit paru obstruktif kronik (PPOK), termasuk emfisema dan bronkitis kronis;"Dewasa dan anak usia ≥2 tahun
";"Tablet, kapsul, sirop, suntik
";Sesak nafas, bengek, batuk
334;S;Samcobion;Obat bebas;Suplemen vitamin dan mineral;"Mengatasi dan mencegah anemia defisiensi besi
";Dewasa dan anak usia >12 tahun;Kaplet;Anemia
335;S;Samcofenac;Obat resep;Obat antiinflamasi nonsteroid (OAINS);"Meringankan gejala radang sendi pada rheumatoid arthritis, osteoarthritis, dan ankylosing spondylitis
";"Dewasa ≥18 tahun
";Tablet salut enterik;Radang sendi
336;S;Samquinor;Obat resep;Antibiotik quinolone;Mengatasi infeksi bakteri;Dewasa dan anak usia ≥12 tahun;"Kaplet
";Infeksi bakteri
337;S;Samsca;Obat resep;Vasopressin receptor antagonists;Menangani hiponatremia;Dewasa;Tablet;Hiponatermia
349;T;Tacrine;Obat resep;"Penghambat enzim kolinesterase
";"Mengatasi demensia akibat penyakit Alzheimer
";Dewasa;"Kapsul
";Demensia
350;T;Tadalafil;Obat resep;Obat disfungsi ereksi;"Mengatasi impotensi, mengobati gejala pembesaran prostat jinak, dan menangani hipertensi pulmonal.
";Dewasa;"Tablet, orodispersible film, oral dissolving film (ODF)
";Impotensi
351;T;Tamcocin;Obat resep;Antibiotik lincosamide;Mengatasi infeksi bakteri pada paru-paru, kulit, tulang, dan sendi;Dewasa dan anak usia ≥1 bulan;Kapsul;Infeksi bakteri pada paru-paru, kulit, tulang, sendi
352;T;Tamofen;Obat resep;"Antiestrogen
";"1. Menangani dan menurunkan risiko terjadinya kanker payudara
2. Mengatasi infertilitas pada perempuan";Dewasa;"Tablet
";Kanker payudara
353;T;"Tamoxifen
";"Obat resep
";Antiestrogen;Menangani dan menurunkan risiko terjadinya kanker payudara;Dewasa;Tablet;Kanker payudara
354;T;Tamsulosin;Obat resep;"Penghambat alfa
";"Meredakan gejala pembesaran prostat (benign prostatic hyperplasia/BPH
";Dewasa;"Kapsul, tablet lepas lambat, dan tablet dispersibel
";Prostat besar
355;T;Tanapress;Obat resep;ACE inhibitor;Menangani tekanan darah tinggi;Dewasa;Tablet;Darah tinggi
356;T;Tapentadol;Obat resep;"Antinyeri golongan opioid
";Mengatasi nyeri sedang hingga berat, serta mengobati nyeri neuropatik pada pasien diabetes;Dewasa;Tablet;Nyeri cedera
357;T;Tavacort;Obat resep;Antibiotik dan kortikosteroid topikal;Mengatasi peradangan kulit eksim, dermatitis numularis, dermatitis kontak, atau psoriasis yang mengalami infeksi;"Dewasa
";Krim;Radang kulit
358;T;Tegretol;"Obat resep
";Antikonvulsan dan antimania;"1. Mengendalikan kambuhnya kejang pada penderita epilepsi.
2. Meredakan nyeri di wajah akibat gangguan saraf trigeminal atau (trigeminal neuralgia)
3. Meredakan nyeri pada tenggorokan, lidah, atau telinga akibat gangguan saraf (glossopharyngeal neuralgia)
4. Mengatasi gejala gangguan bipolar yang tidak bisa diobati dengan penggunaan lithium";Dewasa dan anak usia ≥6 tahun;Tablet, tablet lepas lambat;Epilepsi
359;T;Telbivudine;"Obat resep
";Obat antivirus;Mengobati hepatitis B kronis;Dewasa dan remaja;Tablet;Hepatitis B
360;T;Telfast;"Obat resep
";Antihistamin;"Mengatasi gejala alergi
";Dewasa dan anak usia >12 tahun;"Tablet
";Alergi
361;T;Telmisartan;Obat resep;Angiotensin II receptor blocker (ARB);Menangani hipertensi dan mengurangi risiko terjadinya stroke dan serangan jantung pada penderita penyakit kardiovaskular.;Dewasa;Tablet;Hipertensi
362;T;"Telmisartan-Amlodipine
";Obat resep;"Angiotensin II receptor blocker dan calcium-channel blocker
";"Menurunkan tekanan darah yang terlalu tinggi (hipertensi)
";Dewasa;Tablet;Hipertensi
363;T;Telsat;Obat resep;Angiotensin II receptor blocker (ARB);Menurunkan tekanan darah tinggi;Dewasa;Tablet;Hipertensi, gagal jantung
364;T;Temazepam;Obat resep;Obat penenang jenis benzodiazepine;"Mengatasi insomnia dan sebagai obat penenang sebelum prosedur operasi
";Dewasa dan lansia;Kapsul;Hipertensi
365;T;Temozolomide;Obat resep;Antikanker atau kemoterapi;"1. Menangani beberapa jenis kanker otak, terutama glioblastoma multiforme dan anaplastic astrocytoma
2. Menangani kanker kulit melanoma yang sudah menyebar";Dewasa atau anak-anak;"Kapsul
";Insomnia
370;U;Ulcori;Obat resep;"Antibiotik golongan quinolone
";"Mengobati konjungtivitis atau ulkus kornea akibat infeksi bakteri
";Dewasa dan anak usia ≥1 tahun;Tetes mata (eye drop);Konjungtivitis
371;U;Ulsicral;Obat resep;"Penghambat produksi asam lambung (antiulcerant)
";"Mengatasi GERD, tukak lambung, ulkus dusodenum, atau gastritis kronis
";Dewasa;Tablet dan sirop;GERD, tukak lambung, ulkus duodenum, gastritis kronis
372;U;Ultraflu;Obat bebas terbatas;Obat demam dan flu;Meringankan gejala flu;Dewasa dan anak-anak;Kaplet;Flu
373;U;"Ultraproct N Krim
";Obat resep;Penghilang nyeri (anestesi) lokal dan kortikosteroid;"1. Mengatasi gejala wasir 
2. Mengurangi nyeri akibat fisura ani, proktitis, dan tindakan operasi hemoroidektomi";Dewasa;Krim;Wasir
374;U;Umeclidinium;Obat resep;Antikolinergik;"1. Meredakan gejala penyakit paru obstruktif kronik (PPOK), seperti bronkitis kronis atau emfisema
2. Mencegah kekambuhan PPOK";Dewasa;Inhaler;Bronkitis kronis, emfisema
375;U;Undecylenic Acid;Obat bebas;Obat antijamur;Mengobati infeksi jamur kulit;Dewasa dan anak >2 tahun;Krim;Kutu air, kurap
376;U;Unisia;Obat resep;Antagonis kalsium dan angiotensin II receptor blocker (ARB);Mengatasi tekanan darah tinggi;Dewasa dan anak usia 1 tahun ke atas;Tablet;Hipertensi
377;U;Uperio;Obat resep;Obat antihipertensi;Mengobati gagal jantung;Dewasa;"Tablet
";Hipertensi
378;U;Urea Topikal;Obat resep;Emolien;Melembapkan kulit dan mengatasi kulit kering, kasar, bersisik, dan iritasi kulit ringan akibat dermatitis atopik (eksim), psoriasis, iktiosis, atau keratosis;"Dewasa
";Krim;Kulit kering, kasar, bersisik, iritasi kulit
379;U;Uresix;"Obat resep
";"Diuretik
";Mengatasi edema dan tekanan darah tinggi;Dewasa dan anak-anak;Tablet dan suntik;Edema
380;U;"Urief
";Obat resep;"Penghambat alfa (alpha-blockers)
";Meredakan gejala pembesaran kelenjar prostat jinak atau benign prostatic hyperplasia (BPH);"Pria dewasa
";Tablet;Pembengkakan prostat
396;V;"Vaksin Novavax
";"Obat resep
";Vaksin COVID-19;Mencegah infeksi virus Corona atau COVID-19;Dewasa;Suntik;Covid 19
397;V;Vaksin Pfizer;Obat resep;Vaksin COVID-19;Mencegah terjadinya COVID-19 yang berat;Dewasa dan anak usia 6 bulan ke atas;"Suntik
";Covid 19
398;V;Vaksin Polio;Obat resep;Vaksin;Mencegah polio;Dewasa dan anak-anak;Suntik dan tetes mulut;Polio
399;V;Vaksin Rabies;Obat resep;Vaksin;Mencegah penyakit rabies;Dewasa dan anak-anak;Suntik;Rabies
400;V;Vaksin Rotavirus;Obat resep;Vaksin;Mencegah terjadinya infeksi rotavirus yang menyebabkan gastroenteritis atau muntaber;"1. Anak usia maksimal 6 bulan untuk vaksin rotavirus monovalen 
2. Anak usia 8 bulan untuk vaksin rotavirus pentavalen";Suspensi atau larutan;Muntaber
401;V;Vaksin Sinopharm;Obat resep;Vaksin COVID-19;Mencegah COVID-19;"Dewasa usia 18–59 tahun
";"Suntik
";Covid 19
402;V;Vaksin Sinovac;Obat resep;Vaksin COVID-19;"Mencegah infeksi virus SARS-CoV-2 yang berat
";Dewasa dan anak usia ≥6 tahun;Suntik;Covid 19
403;V;Vaksin Sputnik;Obat resep;Vaksin COVID-19;Mencegah infeksi virus Corona atau COVID-19;Dewasa;Suntik;Covid 19
404;V;Vaksin Tifoid;Obat resep;Vaksin;Mencegah demam tifoid atau tipes;Dewasa dan anak usia ≥2 tahun;Suntik;Tipes
405;V;Valacyclovir;Obat resep;Antivirus;Mengatasi infeksi virus herpes;Dewasa dan anak usia ≥12 tahun;Kaplet dan tablet;Herpes
406;W;Warfarin;Obat resep;Antikoagulan;Mencegah dan mengatasi penggumpalan darah;Dewasa;Tablet;penggumpalan darah
407;W;Wldoxil;Obat resep;Antibiotik golongan sefalosporin;Mengobati infeksi bakteri pada kulit dan jaringan, otot dan tulang, saluran pernapasan, saluran kemih, serta area kemaluan;Dewasa dan anak;Kapsul;infeksi bakteri 
408;W;Wiros;Obat resep;Obat antiinflamasi nonsteroid (OAINS);Meredakan nyeri dan peradangan;Dewasa;Kapsul;nyeri dan peradangan
409;W;Wheat Dextrin;Obat bebas;Suplemen serat atau obat pencahar pembentuk massa tinja;Memenuhi kebutuhan serat harian dan mengatasi konstipasi;Dewasa dan anak-anak;Bubuk, tablet, dan tablet kunyah;pembentuk masa tinja
410;W;Winatin;Obat resep;Antihistamin;Meredakan gejala alergi, seperti rhinitis alergi, biduran, atau konjungtivitis alergi;Dewasa dan anak usia ≥12 tahun;Kaplet;alergi gatal gata
411;W;Woods Peppermint;Obat bebas;Obat batuk antitusif/ekspektoran/mukolitik;Meredakan batuk dan melegakan tenggorokan;Dewasa dan anak-anak usia 6 tahun ke atas.;Sirop dan permen pelega tenggorokan (lozenges);batuk 
412;X;Xalatan;Obat resep;Analog prostaglandin;"Menurunkan tekanan di dalam mata akibat glaukoma sudut terbuka atau hipertensi okular
";"Dewasa (>18 tahun) dan lansia
";Tetes mata;Hipertensi okula, glaukoma
413;X;Xalkori;Obat resep;Penghambat protein kinase;"Mengobati kanker paru jenis non-small cell yang sudah menyebar ke organ lain dan limfoma jenis anaplastic large cell lymphoma yang kambuh
";"Dewasa
";Kapsul;Kanker paru, limfoma
414;X;Xanax;Obat resep;"Obat penenang golongan benzodiazepine
";Mengobati gangguan kecemasan dan gangguan panik;"Dewasa dan lansia
";Kaplet dan tablet sublingual;Gangguan kecemasan, gangguan panik
415;X;Xanturic;Obat resep;Obat penghambat xanthine-oxidase;Menurunkan kadar asam urat dalam darah;Dewasa dan anak-anak;Tablet;Asam urat, gout
416;X;Xevolac;"Obat resep
";"Obat antiinflamasi nonsteroid (NSAID)
";"Meredakan nyeri skala sedang hingga berat, contohnya nyeri setelah operasi
";Dewasa (usia ≥16 tahun);"Tablet salut selaput, orally disintegrating tablet, dan cairan suntik
";Meredakan
417;X;Xiety;Obat resep;Antiansietas;Mengatasi gangguan kecemasan;"Dewasa
";Kaplet;Gangguan kecemasan, gangguan panik
418;X;"Xilergy
";Obat bebas terbatas;Antihistamin;Meredakan gejala alergi, seperti biduran atau pilek;Dewasa dan anak usia ≥6 bulan;"Tablet dan sirop
";Alergi, seperti hidung meler, mata gatal, bersin-bersin, gatal-gatal, biduran.
419;X;Ximex Tetrium;Obat resep;Obat bius (anestesi) lokal;Menghilangkan sementara rasa sakit di mata sebelum prosedur medis;Dewasa;Tetes mata;Nyeri mata
420;X;Xylometazoline;Obat bebas;Dekongestan;Mengatasi masalah hidung tersumbat;Dewasa dan anak usia >6 tahun;Tetes hidung (drops);Hidung tersumbat
421;Z;Zanamivir;Obat resep;Obat antivirus penghambat neuraminidase;Mencegah dan mengatasi influenza;Dewasa dan anak usia 5 tahun ke atas;Serbuk inhalasi oral;influenza
422;Z;Zegren;Obat resep;Obat antiinflamasi nonsteroid (OAINS);Meredakan nyeri dan peradangan;Dewasa;Tablet;nyeri dan peradangan
423;Z;Zelona;Obat antiinflamasi nonsteroid (OAINS);Obat resep;Meredakan nyeri dan peradangan;Dewasa;Tablet;nyeri dan peradangan
424;Z;Zelface;Obat resep;Asam dikarboksilat (dicarboxylic acid);Mengobati jerawat ringan hingga sedang;Dewasa dan anak usia >12 tahun;Krim;jerawat
425;Z;Zemplar;Obat resep;Antiparatiroid;Mengatasi hiperparatiroidisme akibat penyakit ginjal kronis;Dewasa;Suntik;iperparatiroidisme akibat penyakit ginjal kronis
426;Z;Zentra;Obat resep;Obat batuk pilek dan alergi;Meringankan gejala alergi, flu, atau pilek, seperti bersin-bersin serta hidung meler atau tersumbat;Dewasa dan anak usia ≥6 tahun;Kaplet dan sirop;alergi, flu, pilek
427;Z;Zevask;Obat resep;Antagonis kalsium;Menurunkan tekanan darah pada hipertensi, Mencegah angina pektoris;Dewasa dan anak-anak;Kaplet;hipertensi dan angina pektoris
428;Z;Zidovudine;Obat resep;Antivirus nucleoside reverse transciptase inhibitors (NRTIs);Memperlambat perkembangan HIV, serta mencegah penularan HIV dari ibu hamil yang terinfeksi ke bayinya;Dewasa dan bayi baru lahir;Tablet, kapsul, dan kaplet;HIV
429;Z;Zigat;Obat resep;Antibiotik golongan quinolone;Mengobati infeksi bakteri;Dewasa usia >18 tahun;Tablet salut selaput;infeksi bakteri
430;Z;Zitanid;Obat resep;Obat relaksan otot;Mengatasi otot tegang;Dewasa;Tablet;otot tegang
431;Z;Zolagel;Obat bebas terbatas;Antijamur;Mengobati infeksi jamur pada kulit dan kuku;Dewasa dan anak-anak;Krim;infeksi jamur pada kulit dan kuku
432;Z;Zolastin;Obat resep;Benzodiazepine;Menangani gangguan kecemasan dan gangguan panik;Dewasa;Tablet;gangguan kecemasan
433;Z;Zoledronic Acid;Obat resep;Bisfosfonat;Mengatasi hiperkalsemia akibat kanker, osteoporosis, kanker yang sudah menyebar ke tulang, atau penyakit Paget;Dewasa;Suntik;hiperkalsemia akibat kanker, osteoporosis,
434;Z;Zoline;Obat resep;Antihistamin;Meredakan gejala alergi pada rhinitis alergi, konjungtivitis alergi, atau biduran;Dewasa dan anak usia ≥10 tahun;Kaplet;gejala alergi pada rhinitis alergi, konjungtivitis alergi, atau biduran
